"N.Registro";"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"09/000184";"Cafetería";"1ª - 2 Tazas";"VARACAFÉ";"CL/VENERABLES,2";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947200860";"";"";"varacafe@hotmail.com";"";"";"36";"";"";"Si";
"05/000112";"Cafetería";"2ª - 1 Taza";"CAFE ARONA (CIERRE TEMPORAL)";"AVDA. JOSE ANTONIO, 25";"05429";"Ávila";"Santa María del Tiétar";"SANTA MARIA DEL TIETAR";"SANTA MARIA DEL TIETAR";"629880639";"";"";"";"";"";"16";"";"";"";
"37/000286";"Cafetería";"2ª - 1 Taza";"LA RETINTA";"Avenida FILIBERTO VILLALOBOS 71";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923257931";"";"";"";"";"";"16";"";"";"Si";
"05/000113";"Cafetería / Bar";"1ª - 2 Tazas";"PUERTA DE LA SANTA";"Calle EMPEDRADA c/v. BEATA JESUS JORNET 1";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920253501";"607880788";"";"reservas@hotelpuertadelasanta.com";"www.hotelpuertadelasanta.com";"";"55";"";"";"Si";
"49/000054";"Cafetería";"2ª - 1 Taza";"EL PESCADOR";"Calle La Iglesia 11";"49149";"Zamora";"Montamarta";"MONTAMARTA";"MONTAMARTA";"980550070";"";"";"barelpescador@hotmail.com";"";"";"54";"";"";"";
"37/000287";"Cafetería / Bar";"2ª - 1 Taza";"BAR RESIDENCIA";"Calle LARGA 9";"37514";"Salamanca";"Sahugo (El)";"SAHUGO (EL)";"SAHUGO (EL)";"000000";"";"";"";"";"";"44";"";"";"Si";
"09/000185";"Cafetería / Bar";"2ª - 1 Taza";"EL PLAN B";"CL/SAN ROQUE, 3";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"947239860";"";"";"";"";"";"69";"";"";"Si";
"05/000114";"Cafetería";"1ª - 2 Tazas";"CAFETERIA SABORGREDOS";"AVDA. VACA DE OSMA, 9";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920341237";"695138572";"";"saborgredos@hotmail.com";"";"";"65";"";"";"Si";
"37/000288";"Cafetería";"2ª - 1 Taza";"MYKONOS";"Pº CANALEJAS, 162, Bajo";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"691868341";"";"";"iregonse@hotmail.com";"";"";"38";"";"";"";
"24/000408";"Cafetería";"2ª - 1 Taza";"VATSE";"C/GERARDO LINARES, 3";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"987480044";"618187045";"";"";"";"";"";"";"";"";
"24/000409";"Cafetería";"2ª - 1 Taza";"GLAMOUR";"AV. NOCEDO, 71";"24007";"León";"León";"LEON";"LEON";"987000000";"";"";"";"";"";"";"";"";"";
"05/000115";"Cafetería / Bar";"2ª - 1 Taza";"CERVANTES";"C/ CERVANTES, Nº 21";"05420";"Ávila";"Sotillo de la Adrada";"SOTILLO DE LA ADRADA";"SOTILLO DE LA ADRADA";"692163092";"";"";"";"";"";"50";"";"";"";
"47/000199";"Cafetería";"2ª - 1 Taza";"PRINCIPE SPORTS";"AVENIDA MADRID 46";"47008";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983459330";"";"";"";"www.hotelesfoxa.com";"";"88";"";"";"Si";
"42/000101";"Cafetería / Bar";"2ª - 1 Taza";"CERVECERIA EQUUS";"Calle SAN AGUSTIN 9";"42300";"Soria";"Burgo de Osma-Ciudad de Osma";"BURGO DE OSMA (EL)";"BURGO DE OSMA (EL)";"667639003";"975340390";"";"quiquetrantranalonso@gmail.com";"";"";"74";"";"";"";
"09/000186";"Cafetería";"2ª - 1 Taza";"LA PLAZA";"PZA/MAYOR,9";"09280";"Burgos";"Pancorbo";"PANCORBO";"PANCORBO";"947354018";"619681008";"";"aaccpancorbo@terra.es";"";"";"16";"";"";"Si";
"09/000187";"Cafetería";"2ª - 1 Taza";"PURA GULA";"AVDA/CASTILLA Y LEON,22 CAMINO DE LA PLATA LOC.135";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"947230192";"";"";"";"";"";"51";"";"";"Si";
"37/000289";"Cafetería";"2ª - 1 Taza";"LA PARRILLA";"C/ TABLAO, 62";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"692303542";"";"";"";"";"";"22";"";"";"";
"47/000200";"Cafetería";"1ª - 2 Tazas";"DONDE ÁNGELA";"ALUMINIO 24";"47012";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"615075911";"983044386";"";"";"";"";"95";"";"";"";
"24/000411";"Cafetería";"2ª - 1 Taza";"NORDICO";"C/ ALCALDE MIGUEL CASTAÑO, 12";"24005";"León";"León";"LEON";"LEON";"987000000";"";"";"";"";"";"";"";"";"";
"24/000412";"Cafetería";"1ª - 2 Tazas";"ROSA";"PZ. SANTA MARINA, 1";"24200";"León";"Valencia de Don Juan";"VALENCIA DE DON JUAN";"VALENCIA DE DON JUAN";"987000000";"";"";"";"";"";"";"";"";"";
"05/000116";"Cafetería / Bar";"2ª - 1 Taza";"TABERNA LA AVILEÑA";"Avenida DE LA JUVENTUD 19";"05003";"Ávila";"Ávila";"AVILA";"AVILA";"656995824";"";"";"";"";"";"40";"";"";"";
"40/000048";"Cafetería / Bar";"2ª - 1 Taza";"CRUCE DE CAMINOS";"Plaza LOS COCHES 3";"40160";"Segovia";"Torrecaballeros";"TORRECABALLEROS";"TORRECABALLEROS";"921401253";"";"";"";"";"";"60";"";"";"";
"24/000413";"Cafetería";"1ª - 2 Tazas";"EL CAMINO";"C/ REAL, 53";"24343";"León";"Burgo Ranero (El)";"BURGO RANERO (EL)";"BURGO RANERO (EL)";"689855304";"";"";"siempre_parentesis@hotmail.com";"";"";"";"";"";"";
"09/000188";"Cafetería";"2ª - 1 Taza";"JUARREÑO-ALTA PASTELERÍA";"PZA/MAYOR,25";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947213490";"";"";"info@juarreno.com";"www.juarreno.com";"";"19";"";"";"Si";
"47/000201";"Cafetería";"2ª - 1 Taza";"LA CHULA";"MACÍAS PICAVEA 4";"47003";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983391082";"677593331";"983208852";"";"";"";"34";"";"";"";
"47/000202";"Cafetería / Bar";"2ª - 1 Taza";"EL PICOTEO DE ELY";"ZORRILLA PASEO, 101";"47006";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983225027";"";"";"";"";"";"64";"";"";"Si";
"24/000415";"Cafetería";"2ª - 1 Taza";"HORNO DE LEON";"AV. CONDESA DE SAGASTA, 30";"24001";"León";"León";"LEON";"LEON";"987000000";"";"";"";"";"";"";"";"";"";
"37/000291";"Cafetería";"2ª - 1 Taza";"LOS DADOS";"C/ MAYOR, 7, Bajo";"37748";"Salamanca";"Puente del Congosto";"PUENTE DEL CONGOSTO";"PUENTE DEL CONGOSTO";"923152477";"";"";"";"";"";"22";"";"";"";
"05/000117";"Cafetería";"2ª - 1 Taza";"BUENOS AIRES";"Avenida  DE PORTUGAL 15";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"652499914";"";"";"luisalbertojaimes1967@gmail.com";"";"";"75";"";"";"";
"40/000049";"Cafetería";"2ª - 1 Taza";"BOWLING SEGOVIA";"Calle BALTASAR GRACIÁN 7";"40006";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921433629";"600535445";"";"";"";"";"328";"";"";"";
"49/000060";"Cafetería / Bar";"2ª - 1 Taza";"VALCARCE";"Avda. Las Américas, s/n";"49600";"Zamora";"Benavente";"BENAVENTE";"BENAVENTE";"980637962";"";"";"benavente@grupovalcarce.com";"";"";"30";"";"";"";
"09/000189";"Cafetería";"2ª - 1 Taza";"TREMOLO COFFEE SHOP";"CL/ALMIRANTE BONIFÁZ,20 BAJO";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"636314261";"";"";"";"";"";"12";"";"";"Si";
"34/000067";"Cafetería";"2ª - 1 Taza";"E.S. AREA EL CANTO";"AUTOVÍA, 62    KM. 64,3";"34230";"Palencia";"Torquemada";"TORQUEMADA";"TORQUEMADA";"979 700450";"";"";"administracion@hotelessuco.com";"";"";"150";"";"";"";
"09/000190";"Cafetería";"2ª - 1 Taza";"SAYMAR";"CL/BOULEVAR, 1";"09550";"Burgos";"Villarcayo de Merindad de Castilla la Vieja";"VILLARCAYO";"VILLARCAYO";"638192371";"947130117";"638192371";"";"";"";"17";"";"";"Si";
"37/000293";"Cafetería";"2ª - 1 Taza";"BENE";"C/ LA IGLESIA, 17, BAJO";"37216";"Salamanca";"Peralejos de Abajo";"PERALEJOS DE ABAJO";"PERALEJOS DE ABAJO";"628028633";"";"";"";"";"";"21";"";"";"Si";
"47/000203";"Cafetería";"1ª - 2 Tazas";"LA PLAZA DE TOROS (cese de actividad)";"SANTA MARÍA, 20";"47100";"Valladolid";"Tordesillas";"TORDESILLAS";"TORDESILLAS";"983079057";"618212573";"";"";"";"";"50";"";"";"";
"47/000204";"Cafetería";"2ª - 1 Taza";"LAS CHATAS";"LA FRAGUA 27";"47193";"Valladolid";"Cistérniga";"CISTERNIGA";"CISTERNIGA";"651903125";"";"";"";"";"";"30";"";"";"";
"05/000118";"Cafetería";"1ª - 2 Tazas";"SANTIAGO CELEBRACIONES";"AVDA. JOSÉ ANTONIO, Nº 30";"05429";"Ávila";"Santa María del Tiétar";"SANTA MARIA DEL TIETAR";"SANTA MARIA DEL TIETAR";"918662546";"";"";"";"";"";"42";"";"";"";
"09/000191";"Cafetería";"2ª - 1 Taza";"EL ZAGUÁN";"Carretera Miranda, 2";"09540";"Burgos";"Trespaderne";"TRESPADERNE";"TRESPADERNE";"638744432";"";"";"txapas3pa@gmail.com";"";"";"37";"-3,390146";"42,80205";"Si";
"47/000205";"Cafetería / Bar";"2ª - 1 Taza";"LA CASONA DE VALBUENA";"FRANCISCO CARRASCAL 9";"47359";"Valladolid";"Valbuena de Duero";"VALBUENA DE DUERO";"VALBUENA DE DUERO";"983683171";"615177035";"";"info@lacasonadevalbuena.es";"www.lacasonadevalbuena.es";"";"36";"";"";"Si";
"37/000294";"Cafetería";"2ª - 1 Taza";"CENTRO SOCIAL SIEGA VERDE";"C/ DON BENITO, 23";"37488";"Salamanca";"Villar de la Yegua";"VILLAR DE LA YEGUA";"VILLAR DE LA YEGUA";"639138566";"";"";"";"";"";"46";"";"";"Si";
"40/000050";"Cafetería / Bar";"2ª - 1 Taza";"PISCINA PUBLICA MUNICIPAL";"Camino SAN CRISTOBAL S/N";"40468";"Segovia";"Montejo de Arévalo";"MONTEJO DE AREVALO";"MONTEJO DE AREVALO";"920309011";"";"";"";"";"";"";"";"";"";
"40/000052";"Cafetería / Bar";"2ª - 1 Taza";"CHOCO BAR PLAZA";"Plaza MAYOR 10";"40441";"Segovia";"Migueláñez";"MIGUELAÑEZ";"MIGUELAÑEZ";"659422522";"";"";"CHUSI71@HOTMAIL.COM";"";"";"12";"";"";"";
"49/000062";"Cafetería";"2ª - 1 Taza";"EL CRUCE";"Ctra. Palencia, km 2";"49660";"Zamora";"Castrogonzalo";"CASTROGONZALO";"CASTROGONZALO";"980664519";"";"";"calesga2003@yahoo.es";"";"";"54";"";"";"";
"24/000417";"Cafetería";"2ª - 1 Taza";"EL ALQUIMISTA";"Calle ALVARO DE MENDAÑA 1";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987401407";"";"";"";"";"";"";"";"";"";
"47/000207";"Cafetería / Bar";"2ª - 1 Taza";"LAS CONTIENDAS";"GIJÓN, AVDA. 71";"47009";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983360405";"";"";"";"";"";"26";"";"";"Si";
"24/000419";"Cafetería / Bar";"2ª - 1 Taza";"LA CERVE";"AV. LA LASTRA, 55";"24005";"León";"León";"LEON";"LEON";"987000000";"";"";"";"";"";"";"";"";"";
"47/000208";"Cafetería / Bar";"2ª - 1 Taza";"EL SECRETO DE CHARLY";"MANUEL AZAÑA 60-62";"47014";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"601054428";"";"";"";"";"";"60";"";"";"";
"49/000063";"Cafetería / Bar";"2ª - 1 Taza";"24 HORAS REY DON SANCHO";"Avenida  de Galicia s/n";"49024";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980523400";"685167979";"";"eventos@reydonsancho.es";"www.reydonsancho.es";"";"50";"";"";"Si";
"09/000192";"Cafetería / Bar";"2ª - 1 Taza";"EL PASO";"CL/SAN FRANCISCO,2";"09250";"Burgos";"Belorado";"BELORADO";"BELORADO";"630959033";"";"";"";"";"";"36";"";"";"";
"37/000295";"Cafetería";"2ª - 1 Taza";"PUERTO SAUCE";"C/ REGATO, 18";"37882";"Salamanca";"Pedraza de Alba";"PEDRAZA DE ALBA";"PEDRAZA DE ALBA";"606604180";"";"";"";"";"";"88";"";"";"Si";
"49/000064";"Cafetería / Bar";"2ª - 1 Taza";"REAL DONER KEBAP";"C/ Puerta del Mercado, nº 45";"49800";"Zamora";"Toro";"TORO";"TORO";"980694803";"";"";"";"";"";"43";"";"";"";
"49/000065";"Cafetería / Bar";"2ª - 1 Taza";"DONDE SIEMPRE";"Pza. del Generalísimo, nº 1, bajo";"49121";"Zamora";"Monfarracinos";"MONFARRACINOS";"MONFARRACINOS";"606970100";"980505552";"";"";"";"";"26";"";"";"";
"47/000209";"Cafetería";"2ª - 1 Taza";"EL PORTALÓN";"LAGARES, 5";"47862";"Valladolid";"Urueña";"URUEÑA";"URUEÑA";"983717536";"";"";"";"";"";"21";"";"";"Si";
"37/000296";"Cafetería";"2ª - 1 Taza";"EL PATIO DE JIGO";"AVDA. CONSTITUCION, 29, BAJO";"37175";"Salamanca";"Pereña de la Ribera";"PEREÑA";"PEREÑA";"923573132";"";"";"";"";"";"26";"";"";"Si";
"40/000053";"Cafetería";"2ª - 1 Taza";"EL CAFE DE LAS AFUERAS";"Carretera SORIA 12  BAJO C";"40196";"Segovia";"Lastrilla (La)";"LASTRILLA (LA)";"*DISEMINADO*";"652435815";"652435815";"";"SOLOMSN10@HOTMAIL.COM (del titular)";"";"";"110";"";"";"Si";
"09/000193";"Cafetería / Bar";"2ª - 1 Taza";"CAFETERÍA IBÁÑEZ";"Paseo del Espolón, 16";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947073450";"";"";"";"";"";"44";"";"";"Si";
"24/000420";"Cafetería";"2ª - 1 Taza";"LA ALACENA DE QUEVEDO";"AV. QUEVEDO, 13";"24009";"León";"León";"LEON";"LEON";"987242975";"";"";"recepcion@hostalquevedoleon.com";"";"";"";"";"";"";
"24/000421";"Cafetería";"2ª - 1 Taza";"POLIDEPORTIVO DE NAVATEJERA";"C/ MIGUEL DE UNAMUNO, S/N";"24193";"León";"Villaquilambre";"NAVATEJERA";"NAVATEJERA";"987875640";"";"";"";"";"";"";"";"";"";
"24/000422";"Cafetería";"2ª - 1 Taza";"LA CLAVE DEL BUEN CAFE";"AV. PAIS LEONES - 12, CC ESPACIO LEON, local 3.18";"24010";"León";"León";"LEON";"LEON";"987233358";"";"";"";"";"";"";"";"";"";
"24/000423";"Cafetería";"2ª - 1 Taza";"AEROPUERTO DE LEON";"C/LA ERMITA, S/N.";"24198";"León";"Valverde de la Virgen";"VIRGEN DEL CAMINO (LA)";"VIRGEN DEL CAMINO (LA)";"987801036";"";"";"navarrolapikova@gmail.com";"";"";"";"";"";"";
"05/000119";"Cafetería / Bar";"2ª - 1 Taza";"ARABESCA";"C/VALLE DEL CORNEJA, Nº 5";"05003";"Ávila";"Ávila";"AVILA";"AVILA";"610601840";"";"";"";"";"";"44";"";"";"";
"24/000424";"Cafetería";"2ª - 1 Taza";"BURGUER COPOS";"Calle C/ BERNARDO DEL CARPIO, 6";"24004";"León";"León";"LEON";"LEON";"987255354";"";"";"";"";"";"";"";"";"";
"05/000120";"Cafetería / Bar";"2ª - 1 Taza";"TABERNA DE MOU";"Calle ARCO DE AVILA 13";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"645521570";"";"";"dessy.863@gmail.com";"";"";"84";"";"";"";
"24/000425";"Cafetería";"2ª - 1 Taza";"OCTAVIO ALVAREZ CARBALLO";"CTRA. LE-497, KM.10  EST. INVERNAL DE LEITARIEGOS";"24110";"León";"Villablino";"CABOALLES DE ABAJO";"CABOALLES DE ABAJO";"680647495";"";"";"vivelaciana@gmail.com";"www.albergueleitariegos.com";"";"";"";"";"";
"37/000297";"Cafetería";"2ª - 1 Taza";"MERINO";"C/ JUAN DE LA CIERVA, 17 (P.I. EL MONTALVO)";"37188";"Salamanca";"Carbajosa de la Sagrada";"MONTALVO (EL)";"POLIGONO EL MONTALVO";"923195084";"";"";"";"";"";"55";"";"";"";
"37/000298";"Cafetería";"2ª - 1 Taza";"M3";"C/ ADAJA, PARQUE CIENTIFICO, EDIFICIO M3";"37185";"Salamanca";"Villamayor";"VILLAMAYOR";"VILLAMAYOR";"923207856";"620463650";"";"";"";"";"104";"";"";"Si";
"47/000210";"Cafetería";"2ª - 1 Taza";"LA OFICINA";"MAYOR, 19";"47420";"Valladolid";"Íscar";"ISCAR";"ISCAR";"983611054";"615250875";"";"";"";"";"108";"";"";"";
"24/000426";"Cafetería";"2ª - 1 Taza";"COVI";"AVDA. VALCAYO, 20";"24900";"León";"Riaño";"RIAÑO";"RIAÑO";"680533813";"";"";"";"";"";"";"";"";"";
"05/000122";"Cafetería";"2ª - 1 Taza";"CAMPANELO";"PZ. CORRAL DE CAMPANAS";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"92035225";"";"";"";"";"";"60";"";"";"Si";
"40/000056";"Cafetería / Bar";"2ª - 1 Taza";"PISCINA DE LA ESTACIÓN";"Calle RONDA ESTACIÓN 5";"40450";"Segovia";"Nava de la Asunción";"NAVA DE LA ASUNCION";"NAVA DE LA ASUNCION";"921580713";"921580036";"";"";"";"";"51";"";"";"";
"09/000194";"Cafetería / Bar";"2ª - 1 Taza";"LA CRISTALERA";"CL/TRASERAS CARRETERA ARENILLAS, S/N";"09230";"Burgos";"Estépar";"ESTEPAR";"ESTEPAR";"647088173";"";"";"";"";"";"48";"";"";"";
"37/000300";"Cafetería";"2ª - 1 Taza";"LA BARDERA";"C/ LA PLAYA, S/N";"37748";"Salamanca";"Puente del Congosto";"PUENTE DEL CONGOSTO";"PUENTE DEL CONGOSTO";"653339319";"";"";"";"";"";"88";"";"";"Si";
"37/000301";"Cafetería";"2ª - 1 Taza";"PISCINAS DE CASTELLANOS DE MORISCOS";"Calle CAMINO DE LOS LABAJOS, S/N";"37439";"Salamanca";"Castellanos de Moriscos";"CASTELLANOS DE MORISCOS";"CASTELLANOS DE MORISCOS";"626256367";"";"";"";"";"";"48";"";"";"Si";
"09/000196";"Cafetería";"2ª - 1 Taza";"CHIRIPA";"CL/SANTA DOROTEA, 32";"09001";"Burgos";"Burgos";"BURGOS";"BURGOS";"629234202";"654415883";"";"";"";"";"68";"";"";"Si";
"47/000211";"Cafetería";"2ª - 1 Taza";"AZABACHE";"Avenida PRADO BOYAL 3";"47140";"Valladolid";"Laguna de Duero";"LAGUNA DE DUERO";"LAGUNA DE DUERO";"686475004";"983487430";"";"";"";"";"57";"";"";"";
"40/000057";"Cafetería";"2ª - 1 Taza";"CAFETERIA CASA DE LA QUÍMICA";"Plaza REINA VICTORIA EUGENIA S/N";"40003";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921463872";"";"";"";"";"";"61";"";"";"Si";
"37/000302";"Cafetería";"2ª - 1 Taza";"TRES PLAZAS";"PARQUE WÜRZBURG, 1-5";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"665837015";"";"";"cafeteriatresplazas@gmail.com";"";"";"36";"";"";"Si";
"40/000058";"Cafetería";"2ª - 1 Taza";"BURGER KING";"Avenida PADRE CLARET 4";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921....";"915401626";"";"ROCIO.PEREYRA@RBIBERIA.COM";"";"";"150";"";"";"";
"09/000197";"Cafetería";"2ª - 1 Taza";"PIZZERIA DESS";"CL/VILLALON,33";"09001";"Burgos";"Burgos";"BURGOS";"BURGOS";"947262914";"670041372";"";"";"";"";"20";"";"";"Si";
"42/000102";"Cafetería / Bar";"1ª - 2 Tazas";"EL RINCON DE ACOSTA";"Calle ACOSTA 16";"42300";"Soria";"Burgo de Osma-Ciudad de Osma";"BURGO DE OSMA (EL)";"BURGO DE OSMA (EL)";"665070415";"";"";"";"";"";"106";"";"";"Si";
"05/000123";"Cafetería";"2ª - 1 Taza";"LAS DELICIAS";"Calle NUEVA 25";"05450";"Ávila";"Casavieja";"CASAVIEJA";"CASAVIEJA";"722556031";"";"";"";"";"";"38";"";"";"";
"40/000059";"Cafetería / Bar";"2ª - 1 Taza";"CHIRINGUITO MARTIN MUÑOZ DE LAS POSADAS";"Calle SANTA MARÍA S/N";"40446";"Segovia";"Martín Muñoz de las Posadas";"MARTIN MUÑOZ DE LAS POSADAS";"MARTIN MUÑOZ DE LAS POSADAS";"920311004";"";"";"";"";"";"46";"";"";"";
"40/000060";"Cafetería";"2ª - 1 Taza";"DE LA MATA ESCOBAR";"Camino  AÑE POL 13, PARCELA 26";"40120";"Segovia";"Garcillán";"GARCILLAN";"GARCILLAN";"921062022";"";"";"";"";"";"26";"";"";"Si";
"37/000305";"Cafetería";"2ª - 1 Taza";"PISCINAS ALDEHUELA";"AVDA. ALDEHUELA DE LOS GUZMANES";"37003";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"000000000";"";"";"";"";"";"";"";"";"";
"37/000306";"Cafetería";"2ª - 1 Taza";"PISCINAS TEJARES";"AV. JUAN PABLO II";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"000000000";"";"";"";"";"";"";"";"";"";
"05/000124";"Cafetería";"2ª - 1 Taza";"LA TOSCANA DE SAN PEDRO";"C/FLORIDA, Nº 1";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"607780998";"";"";"";"";"";"92";"";"";"";
"37/000307";"Cafetería";"2ª - 1 Taza";"JAMONERÍA EL VENTORRO";"C/ QUINTANA, 5, Bajo";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923264884";"";"";"mteresa.u.@hotmail.com";"";"";"15";"";"";"";
"47/000213";"Cafetería / Bar";"2ª - 1 Taza";"EL CAFETAL";"Calle FELICIANO ESCUDERO 20";"47011";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983381318";"";"";"joseramongarcia2010@hotmail.com";"";"";"29";"";"";"Si";
"24/000428";"Cafetería";"1ª - 2 Tazas";"SAN MILLAN";"CR LEON-LA BAÑEZA, KM. 23";"24252";"León";"San Pedro Bercianos";"SAN PEDRO BERCIANOS";"SAN PEDRO BERCIANOS";"987373338";"";"";"";"";"";"";"";"";"";
"05/000126";"Cafetería / Bar";"2ª - 1 Taza";"LA CARACOLA";"C/ BERNARDO CHINARRO, Nº 16";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"633103138";"";"";"";"";"";"80";"";"";"";
"09/000198";"Cafetería / Bar";"2ª - 1 Taza";"LA ALACENA";"Calle General San Pastor, 4";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947251654";"";"";"grupoaylagas1@gmail.com";"www.grupoaylagas.com";"";"48";"-3,6988831";"42,3449011";"Si";
"24/000429";"Cafetería";"2ª - 1 Taza";"LA COMEDIA";"C/ ROA DE LA VEGA, 27";"24001";"León";"León";"LEON";"LEON";"691639335";"987212100";"";"";"";"";"";"";"";"";
"40/000061";"Cafetería";"2ª - 1 Taza";"BURGUER COTO";"Avenida COTO SAN ISIDRO 4";"40151";"Segovia";"Ituero y Lama";"ITUERO Y LAMA";"ITUERO Y LAMA";"921196815";"";"";"";"";"";"51";"";"";"";
"24/000430";"Cafetería";"2ª - 1 Taza";"SPORT-BAR";"C/ ALAMEDA, 5";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"BAÑEZA (LA)";"987041017";"";"";"";"";"";"";"";"";"";
"09/000199";"Cafetería";"2ª - 1 Taza";"HOSPITAL DE BURGOS";"AVDA/ISLAS BALEARES,S/N";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"947245638";"661270784";"";"javier.blanco@serunion.elior.com";"";"";"109";"";"";"Si";
"09/000200";"Cafetería";"2ª - 1 Taza";"DE BOCA";"CL/LA RIBERA. 15 (CENTRO EMPRESARIAL ANTILLA)";"09007";"Burgos";"Burgos";"VILLAYUDA O LA VENTILLA";"VILLAYUDA O LA VENTILLA";"635716928";"";"";"";"";"";"26";"-3,6501369";"42,349782";"";
"47/000214";"Cafetería";"2ª - 1 Taza";"EL TORREZNITO";"Calle PRADO (ESQUINA LOS MOROS) S/N";"47003";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"615075528";"";"";"GESYCO@GESYCO.ES";"";"";"28";"";"";"";
"24/000431";"Cafetería";"2ª - 1 Taza";"TANATORIO LA ENCINA";"AV ASTORGA, S/N";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987424230";"";"";"";"";"";"";"";"";"";
"09/000202";"Cafetería / Bar";"2ª - 1 Taza";"EL BAR DE ALICIA";"CAMINO CORRALÓN, 6";"09258";"Burgos";"Belorado";"PURAS DE VILLAFRANCA";"PURAS DE VILLAFRANCA";"947581236";"620823252";"";"alicialoyro@hotmail.com";"";"";"20";"";"";"Si";
"40/000062";"Cafetería";"2ª - 1 Taza";"EL EDÉN";"Calle LA VILLA 7";"40400";"Segovia";"Espinar (El)";"ESPINAR (EL)";"ESPINAR (EL)";"635239680";"";"";"CAFETERIABARELEDEN@GMAIL.COM";"";"";"23";"";"";"Si";
"40/000063";"Cafetería / Bar";"2ª - 1 Taza";"PISCINA MUNICIPAL";"Carretera SANCHIDRIÁN S/N";"40423";"Segovia";"Vegas de Matute";"VEGAS DE MATUTE";"VEGAS DE MATUTE";"921190062";"680461288";"";"";"";"";"22";"";"";"";
"34/000070";"Cafetería";"2ª - 1 Taza";"TANATORIO PALENCIA";"AVENIDA COMUNIDAD EUROPEA, 2-4";"34004";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979 16 53 16";"";"";"direccion@tanatoriodepalencia.com";"";"";"64";"";"";"Si";
"24/000432";"Cafetería";"2ª - 1 Taza";"CAMPUS DE LA UNIVERSIDAD DE PONFERRADA";"AV. ASTORGA - ULE CAMPUS DE PONFERRADA";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"679159059";"";"";"";"";"";"";"";"";"";
"47/000215";"Cafetería";"2ª - 1 Taza";"JAPO A LAS BRAVAS";"ME FALTA UN TORNILLO, LOCAL 1K07 (RIO SHOPPING)";"47195";"Valladolid";"Arroyo de la Encomienda";"ARROYO DE LA ENCOMIENDA";"ARROYO DE LA ENCOMIENDA";"659438234";"";"";"carmen@loszagales.com";"www.baralarcon.com";"";"";"";"";"";
"40/000064";"Cafetería";"2ª - 1 Taza";"CAFE-LITERARIO ICARO";"Calle REINA 10";"40100";"Segovia";"Real Sitio de San Ildefonso";"SAN ILDEFONSO O LA GRANJA";"SAN ILDEFONSO O LA GRANJA";"921470103";"";"";"";"";"";"16";"";"";"";
